地区,镇,乡,民族乡,街道,民政事业费累计支出,提供住宿的民政机构,养老机构,精神疾病服务机构,儿童福利和救助机构,其他提供住宿机构,提供住宿的民政机构床位,养老机构床位,精神疾病服务机构床位,儿童福利和救助机构床位,其他提供住宿机构床位,不提供住宿的民政机构,孤儿,集中养育孤儿,社会散居孤儿,收养登记,涉外及港澳台收养登记,城市低保人数,城市低保户数,城市低保平均标准,农村低保人数,农村低保户数,农村低保平均标准,临时救助人次数,传统救济人数,流浪乞讨人员救助人次数,儿童救助人次数,农村特困人员救助供养人数,社会捐赠接收站、点、慈善超市数,社区服务指导中心,社区服务中心,社区服务站,其他社区服务机构和设施,社区养老床位数,社会团体,民办非企业单位,基金会,村委会,社区居委会,结婚登记,涉外及港澳台,离婚登记,火化遗体
全国合计,21157,8809,962,8773,42294257.5,40749,38069,144,735,1801,5101683,4830756,66855,97678,106394,775021,193859,59561,134298,10867,99,8053004,4890031,678,36214645,19851092,5962,13411211,323371,831517,41200,4465438,13993,516,29460,392583,70111,3407720,374689,510994,8385,509115,113210,8131206,17333,3733343,5558025
部本级,,,,,,1,,,,1,150,,,,150,1,,,,,,,,,,,,,,,,,,,,,,,1979,98,215,,,,,,
北京市,143,35,5,165,1437240.2,615,583,1,12,19,119862,112440,52,3168,4202,12501,1689,1366,323,26,6,69807,41855,1170,39885,24063,14040,9806,,29824,1108,5400,1752,17,202,6465,4482,19141,4573,7650,796,3887,3235,113790,376,76134,107167
天津市,125,3,1,122,540013.7,412,398,1,3,10,65292,63012,620,851,809,5834,582,410,172,11,2,73139,47731,1010,68258,35247,12120,71391,,4630,35,10578,597,9,162,4173,461,10584,2377,3544,105,3519,1664,89844,148,68685,78461
河北省,1230,713,42,310,1751288.5,1781,1721,1,9,50,235253,231116,570,797,2770,43268,5694,1694,4000,405,2,182188,119832,705,1612599,1124453,5496,269007,2827,30274,1953,262974,50,17,501,13459,331,218880,11459,22610,518,48709,4477,374908,265,205129,234488
山西省,579,610,,207,1059770.7,741,658,3,17,63,76992,70840,1000,1386,3766,8726,5683,2511,3172,141,4,261352,147251,593,997458,705456,5312,283107,6570,49392,1705,132935,244,10,465,1139,561,96939,7637,9787,132,22391,2644,215605,60,66847,30127
内蒙古自治区,508,270,17,246,1272919.6,739,677,5,10,47,83019,77560,1730,2037,1692,5160,2153,766,1387,54,1,314469,199188,726,1334022,856578,6249,199820,9897,18073,516,84802,73,4,852,1524,203,132819,7919,8735,152,11062,2553,141654,94,73024,82258
辽宁省,640,201,54,514,988296.8,2132,2033,,12,87,184149,176329,,1518,6302,25084,4508,2281,2227,68,4,348705,234907,669,696119,457625,5517,171969,6551,34958,1093,127729,372,17,789,15182,1157,72088,6710,19358,104,11549,4500,224299,304,134493,336962
吉林省,426,181,28,344,683396.7,1566,1498,8,12,48,146348,136153,5047,3252,1896,16557,3634,1491,2143,27,1,397588,289902,546,543450,352400,4372,242735,,18376,541,77002,18,4,915,11321,108,30248,5746,7490,119,9343,1978,139278,211,96081,127156
黑龙江省,562,340,52,390,785614.8,1788,1710,6,15,57,174445,165145,3705,3229,2366,5911,3155,896,2259,53,,544418,381907,613,809592,531955,4655,198980,45,11408,1747,92689,210,18,852,2357,802,60384,6915,13249,119,9027,2724,172752,279,126968,209978
上海市,106,2,,107,1497079.9,693,666,3,4,20,142638,136591,1780,1230,3037,10417,1289,1199,90,42,2,143064,103357,1240,29522,26307,14880,26868,3,8166,243,2002,3030,6,812,4611,4042,30366,4242,12274,483,1562,4563,92161,701,60207,133530
江苏省,712,31,1,515,2408898.3,2610,2469,11,39,91,455694,440698,5570,4094,5332,51769,6717,2325,4392,883,2,109984,71712,766,665639,375392,9031,378137,15226,26656,2589,203286,1320,50,2835,13346,16339,310589,37793,59196,762,14045,7328,492373,668,234497,547049
浙江省,618,259,14,488,1752814.9,1843,1753,1,39,50,339282,332253,260,3039,3730,39326,2715,1494,1221,1151,3,61663,47663,882,551878,380575,10552,109243,1701,39725,1009,32591,426,20,1573,12196,10390,310955,25853,44619,827,19806,5152,277726,772,117420,325573
安徽省,968,271,9,262,2098558.0,2554,2461,3,33,57,369053,358518,315,5554,4666,16394,6223,1845,4378,220,,344316,231309,641,1836832,1081537,7614,111178,18506,35057,647,345670,197,37,730,9747,2309,67746,15004,18948,178,14427,3570,471810,501,208708,311645
福建省,658,264,19,185,910168.9,723,648,14,11,50,91281,82748,4053,2075,2405,34578,3120,1165,1955,369,10,62382,40924,686,452376,248080,8172,294449,1480,14374,329,62045,26,7,637,16024,2388,158125,19068,14719,422,14320,2792,205644,962,93403,209507
江西省,830,568,8,168,1394044.2,1883,1808,3,12,60,171641,166742,941,1531,2427,43519,5016,1421,3595,168,6,336102,208794,708,1469247,903776,5707,190426,699,35178,587,124894,266,8,1123,21228,301,96721,12677,14936,86,16979,3798,272447,310,109475,242805
山东省,1072,57,,693,2169304.3,2272,2193,,17,62,370784,363536,,4349,2899,92234,8184,1995,6189,1008,4,122978,77361,733,1352566,899960,6699,136590,138,21330,367,324540,479,87,2282,70352,6447,265025,18473,41529,242,67324,7755,487449,466,214482,692912
河南省,1181,610,12,662,1980431.8,3312,3168,3,31,110,299691,287387,888,4115,7301,56263,18072,4251,13821,463,8,394274,269154,584,2924585,2060565,4556,270034,15568,31477,741,493621,196,7,2284,44996,1285,88376,12977,34237,157,45150,6812,625383,831,271888,180260
湖北省,761,161,10,329,2065660.9,1960,1831,2,48,79,286119,276731,900,4006,4482,40466,5533,1332,4201,399,1,306893,197222,666,1446439,812570,5968,374316,2663,25831,709,239814,343,18,1184,16911,2581,193997,12435,19076,186,22628,4785,317231,369,172557,261338
