日期,年,月,日,周序号,周内序号,周内名称,工作标记,假日标记,工作标记-补充,是否法定假日
20170101,2017,1,1,52,6,星期日,休息,元旦节,休息,是
20170102,2017,1,2,1,0,星期一,休息,元旦节,休息,否
20170103,2017,1,3,1,1,星期二,上班,-,-,-
20170104,2017,1,4,1,2,星期三,上班,-,-,-
20170105,2017,1,5,1,3,星期四,上班,-,-,-
20170106,2017,1,6,1,4,星期五,上班,-,-,-
20170107,2017,1,7,1,5,星期六,休息,-,-,-
20170108,2017,1,8,1,6,星期日,休息,-,-,-
20170109,2017,1,9,2,0,星期一,上班,-,-,-
20170110,2017,1,10,2,1,星期二,上班,-,-,-
20170111,2017,1,11,2,2,星期三,上班,-,-,-
20170112,2017,1,12,2,3,星期四,上班,-,-,-
20170113,2017,1,13,2,4,星期五,上班,-,-,-
20170114,2017,1,14,2,5,星期六,休息,-,-,-
20170115,2017,1,15,2,6,星期日,休息,-,-,-
20170116,2017,1,16,3,0,星期一,上班,-,-,-
20170117,2017,1,17,3,1,星期二,上班,-,-,-
20170118,2017,1,18,3,2,星期三,上班,-,-,-
20170119,2017,1,19,3,3,星期四,上班,-,-,-
20170120,2017,1,20,3,4,星期五,上班,-,-,-
20170121,2017,1,21,3,5,星期六,休息,-,-,-
20170122,2017,1,22,3,6,星期日,补班,—,补班,否
20170123,2017,1,23,4,0,星期一,上班,-,-,-
20170124,2017,1,24,4,1,星期二,上班,-,-,-
20170125,2017,1,25,4,2,星期三,上班,-,-,-
20170126,2017,1,26,4,3,星期四,上班,-,-,-
20170127,2017,1,27,4,4,星期五,休息,除夕,休息,是
20170128,2017,1,28,4,5,星期六,休息,春节,休息,是
20170129,2017,1,29,4,6,星期日,休息,春节,休息,是
20170130,2017,1,30,5,0,星期一,休息,春节,休息,否
20170131,2017,1,31,5,1,星期二,休息,春节,休息,否
20170201,2017,2,1,5,2,星期三,休息,春节,休息,否
20170202,2017,2,2,5,3,星期四,休息,春节,休息,否
20170203,2017,2,3,5,4,星期五,上班,-,-,-
20170204,2017,2,4,5,5,星期六,补班,—,补班,否
20170205,2017,2,5,5,6,星期日,休息,-,-,-
20170206,2017,2,6,6,0,星期一,上班,-,-,-
20170207,2017,2,7,6,1,星期二,上班,-,-,-
20170208,2017,2,8,6,2,星期三,上班,-,-,-
20170209,2017,2,9,6,3,星期四,上班,-,-,-
20170210,2017,2,10,6,4,星期五,上班,-,-,-
20170211,2017,2,11,6,5,星期六,休息,-,-,-
20170212,2017,2,12,6,6,星期日,休息,-,-,-
20170213,2017,2,13,7,0,星期一,上班,-,-,-
20170214,2017,2,14,7,1,星期二,上班,-,-,-
20170215,2017,2,15,7,2,星期三,上班,-,-,-
20170216,2017,2,16,7,3,星期四,上班,-,-,-
20170217,2017,2,17,7,4,星期五,上班,-,-,-
