日期,年,月,日,周序号,周内序号,周名称,是否上班,是否为法定假日,节假日标记
20210101,2020,1,1,53,5,星期五,0,1,元旦
20210102,2020,1,2,53,6,星期六,0,0,元旦
20210103,2020,1,3,53,7,星期日,0,0,元旦
20210104,2021,1,4,1,1,星期一,1,0,-
20210105,2021,1,5,1,2,星期二,1,0,-
20210106,2021,1,6,1,3,星期三,1,0,-
20210107,2021,1,7,1,4,星期四,1,0,-
20210108,2021,1,8,1,5,星期五,1,0,-
20210109,2021,1,9,1,6,星期六,0,0,-
20210110,2021,1,10,1,7,星期日,0,0,-
20210111,2021,1,11,2,1,星期一,1,0,-
20210112,2021,1,12,2,2,星期二,1,0,-
20210113,2021,1,13,2,3,星期三,1,0,-
20210114,2021,1,14,2,4,星期四,1,0,-
20210115,2021,1,15,2,5,星期五,1,0,-
20210116,2021,1,16,2,6,星期六,0,0,-
20210117,2021,1,17,2,7,星期日,0,0,-
20210118,2021,1,18,3,1,星期一,1,0,-
20210119,2021,1,19,3,2,星期二,1,0,-
20210120,2021,1,20,3,3,星期三,1,0,-
20210121,2021,1,21,3,4,星期四,1,0,-
20210122,2021,1,22,3,5,星期五,1,0,-
20210123,2021,1,23,3,6,星期六,0,0,-
20210124,2021,1,24,3,7,星期日,0,0,-
20210125,2021,1,25,4,1,星期一,1,0,-
20210126,2021,1,26,4,2,星期二,1,0,-
20210127,2021,1,27,4,3,星期三,1,0,-
20210128,2021,1,28,4,4,星期四,1,0,-
20210129,2021,1,29,4,5,星期五,1,0,-
20210130,2021,1,30,4,6,星期六,0,0,-
20210131,2021,1,31,4,7,星期日,0,0,-
20210201,2021,2,1,5,1,星期一,1,0,-
20210202,2021,2,2,5,2,星期二,1,0,-
20210203,2021,2,3,5,3,星期三,1,0,-
20210204,2021,2,4,5,4,星期四,1,0,-
20210205,2021,2,5,5,5,星期五,1,0,-
20210206,2021,2,6,5,6,星期六,0,0,-
20210207,2021,2,7,5,7,星期日,1,0,-
20210208,2021,2,8,6,1,星期一,1,0,-
20210209,2021,2,9,6,2,星期二,1,0,-
20210210,2021,2,10,6,3,星期三,1,0,-
20210211,2021,2,11,6,4,星期四,0,0,春节
20210212,2021,2,12,6,5,星期五,0,1,春节
20210213,2021,2,13,6,6,星期六,0,1,春节
