date,假日标记,base_work_tag,工作标记-补充,是否法定假日
2022/1/1,元旦节,周末,休息,是
2022/1/2,元旦节,周末,休息,否
2022/1/3,元旦节,上班,休息,否
2022/1/29,-,周末,补班,否
2022/1/30,-,周末,补班,否
2022/1/31,除夕,上班,休息,是
2022/2/1,春节,上班,休息,是
2022/2/2,春节,上班,休息,是
2022/2/3,春节,上班,休息,否
2022/2/4,春节,上班,休息,否
2022/2/5,春节,周末,休息,否
2022/2/6,春节,周末,休息,否
2022/4/2,-,周末,补班,否
2022/4/3,清明节,周末,休息,否
2022/4/4,清明节,上班,休息,否
2022/4/5,清明节,上班,休息,是
2022/4/24,-,周末,补班,否
2022/5/1,劳动节,周末,休息,是
2022/5/2,劳动节,上班,休息,否
2022/5/3,劳动节,上班,休息,否
2022/5/4,劳动节,上班,休息,否
2022/5/7,-,周末,补班,否
2022/6/3,端午节,上班,休息,是
2022/6/4,端午节,周末,休息,否
2022/6/5,端午节,周末,休息,否
2022/9/10,中秋节,周末,休息,是
2022/9/11,中秋节,周末,休息,否
2022/9/12,中秋节,上班,休息,否
2022/10/1,国庆节,周末,休息,是
2022/10/2,国庆节,周末,休息,是
2022/10/3,国庆节,上班,休息,是
2022/10/4,国庆节,上班,休息,否
2022/10/5,国庆节,上班,休息,否
2022/10/6,国庆节,上班,休息,否
2022/10/7,国庆节,上班,休息,否
2022/10/8,-,周末,补班,否
2022/10/9,-,周末,补班,否
