date,假日标记,base_work_tag,工作标记-补充,是否法定假日
2016/12/31,元旦节,周末,休息,否
2017/1/1,元旦节,周末,休息,是
2017/1/2,元旦节,工作日,休息,否
,,,,
2017/1/22,—,周末,补班,否
2017/1/27,除夕,工作日,休息,是
2017/1/28,春节,周末,休息,是
2017/1/29,春节,周末,休息,是
2017/1/30,春节,工作日,休息,否
2017/1/31,春节,工作日,休息,否
2017/2/1,春节,工作日,休息,否
2017/2/2,春节,工作日,休息,否
2017/2/4,—,周末,补班,否
,,,,
2017/4/1,—,周末,补班,否
2017/4/2,清明节,周末,休息,否
2017/4/3,清明节,工作日,休息,否
2017/4/4,清明节,工作日,休息,是
,,,,
2017/4/29,劳动节,周末,休息,否
2017/4/30,劳动节,周末,休息,否
2017/5/1,劳动节,工作日,休息,是
,,,,
2017/5/27,—,周末,补班,否
2017/5/28,端午节,周末,休息,否
2017/5/29,端午节,工作日,休息,否
2017/5/30,端午节,工作日,休息,是
,,,,
2017/9/30,—,周末,补班,否
2017/10/1,国庆节,周末,休息,是
2017/10/2,国庆节,工作日,休息,是
2017/10/3,国庆节,工作日,休息,是
2017/10/4,国庆节、中秋节,工作日,休息,是
2017/10/5,国庆节,工作日,休息,否
2017/10/6,国庆节,工作日,休息,否
2017/10/7,国庆节,周末,休息,否
2017/10/8,国庆节,周末,休息,否
,,,,
2017/12/30,元旦节,周末,休息,否
2017/12/31,元旦节,周末,休息,否
2018/1/1,元旦节,工作日,休息,是
,,,,
2018/2/11,—,周末,补班,否
2018/2/15,除夕,工作日,休息,是
2018/2/16,春节,工作日,休息,是
2018/2/17,春节,周末,休息,是
2018/2/18,春节,周末,休息,否
2018/2/19,春节,工作日,休息,否
2018/2/20,春节,工作日,休息,否
2018/2/21,春节,工作日,休息,否
2018/2/24,—,周末,补班,否
,,,,
2018/4/5,清明节,工作日,休息,是
2018/4/6,清明节,工作日,休息,否
2018/4/7,清明节,周末,休息,否
2018/4/8,—,周末,补班,否
,,,,
2018/4/28,—,周末,补班,否
2018/4/29,劳动节,周末,休息,否
2018/4/30,劳动节,工作日,休息,否
2018/5/1,劳动节,工作日,休息,是
,,,,
2018/6/16,端午节,周末,休息,否
2018/6/17,端午节,周末,休息,否
2018/6/18,端午节,工作日,休息,是
,,,,
2018/9/22,中秋节,周末,休息,否
2018/9/23,中秋节,周末,休息,否
2018/9/24,中秋节,工作日,休息,是
,,,,
2018/9/29,—,周末,补班,否
2018/9/30,—,周末,补班,否
2018/10/1,国庆节,工作日,休息,是
2018/10/2,国庆节,工作日,休息,是
2018/10/3,国庆节,工作日,休息,是
2018/10/4,国庆节,工作日,休息,否
2018/10/5,国庆节,工作日,休息,否
2018/10/6,国庆节,周末,休息,否
2018/10/7,国庆节,周末,休息,否
,,,,
2018/12/29,—,周末,补班,否
2018/12/30,元旦节,周末,休息,否
2018/12/31,元旦节,工作日,休息,否
2019/1/1,元旦节,工作日,休息,是
,,,,
2019/2/2,—,周末,补班,否
2019/2/3,—,周末,补班,否
2019/2/4,除夕,工作日,休息,是
2019/2/5,春节,工作日,休息,是
2019/2/6,春节,工作日,休息,是
2019/2/7,春节,工作日,休息,否
2019/2/8,春节,工作日,休息,否
2019/2/9,春节,周末,休息,否
2019/2/10,春节,周末,休息,否
,,,,
,,,,
2019/4/5,清明节,工作日,休息,是
2019/4/6,清明节,周末,休息,否
2019/4/7,清明节,周末,休息,否
,,,,
