编码,描述
4214,物流服务
4215,快递公司
4225,仓储服务
4411,旅客航运服务
4733,景区售票
4812,通讯设备销售
4814,电信运营商
4821,电报服务
5094,贵重珠宝、首饰、钟表零售
5211,建材销售
5231,玻璃、油漆涂料、墙纸零售
5251,五金商店
5261,草坪、园艺用品商店
5309,免税商店
5310,折扣商店
5311,百货商店
5331,各类杂货店、便利店
5399,未列入其他代码的零售服务
5411,综合性超级市场
5422,肉类水产商店
5441,糖果及坚果商店
5451,乳制品商店
5462,面包房、糕点商店
5499,未列入其他代码的食品商店
5532,汽车轮胎经销商
5533,汽车零配件商店
5541,加油、加气、充电站
5611,男装商店
5621,女装商店
5631,女性饰品商店
5641,婴儿、儿童服装店
5651,服装综合零售店
5655,运动服饰商店
5661,鞋店
5681,皮货店
5691,成人成衣店
5697,服装定制及修补改衣店
5698,假发商店
5699,未列入其他代码的服饰商店
5712,家具及家居生活用品
5713,地板、地毯商店
5714,窗帘、遮阳棚商店
5718,壁炉、壁炉防护网及配件商店
5719,家庭装饰用品商店
5722,家用电器商店
5732,电子设备商店
5733,乐器商店
5734,计算机软件商店与软件下载
5735,音像制品商店与音像产品下载
5812,就餐场所和餐馆
5813,饮品场所、酒吧、咖啡厅、茶馆
5814,快餐店
5912,药房、药店
5921,瓶装酒零售店
5931,旧货及二手商品店
5932,古玩艺术品销售
5937,古玩复制店
5940,自行车商店
5941,运动器材装备商店
5942,书店
5943,文具商店
5944,银器店
5945,玩具店
5946,摄影摄像器材商店
5947,礼品、纪念品、节日装饰品商店
5948,箱包、皮具店
5949,纺织品及针织品零售
5950,玻璃、陶瓷、水晶制品商店
5962,旅游相关服务直销
5963,门对门销售
5964,目录直销商户
5965,目录、零售兼营商户
5966,电话呼出直销
5967,电话呼入直销
5968,订阅/订购直销服务
5969,其他直销商户
5970,工艺美术商店
5971,艺术商和画廊
5972,邮票和纪念币商店
5973,宗教用品商店
5975,助听器销售
5976,医疗器械
5977,化妆品商店
5978,打字机商店－销售、服务
5983,燃料经销商（除机动车燃料）
5992,花店
5993,香烟、雪茄专卖店
5994,报亭、报摊
5995,宠物商店、宠物食品及用品
5996,游泳池－销售、供应和服务
5997,电动剃刀商店－销售和服务
5999,未列入其他代码的专门零售店
6513,物业管理及房产租赁代理、经纪
7011,住宿服务
7012,分时度假房地产
7032,集体活动服务商、拓展训练
7033,宿营场地
7210,洗衣店
7211,自助洗衣服务
7216,干洗店
7217,室内清洁服务（地毯、沙发、家具表面的清洁服务）
7221,照相馆、摄影工作室
7230,理发店
7251,鞋帽清洗保养服务
7261,殡葬、墓地服务
7273,婚恋服务与婚庆公司
7295,家政服务
7296,服装出租
7297,按摩足疗店
7298,保健、美容及洗浴服务
7299,未列入其他代码的个人服务
7342,灭虫及消毒服务
7349,保洁服务
7372,计算机软件开发、系统集成、数据处理服务
7375,网站运营与信息检索服务
7379,未列入其他代码的计算机维护和修理服务
7394,设备出租服务
7395,照片洗印服务
7512,汽车出租
7513,卡车、拖车与农机出租
7519,房车和娱乐车辆出租
7523,停车场
7531,车体维修店
7534,轮胎翻新、维修店
7535,汽车喷漆店
7538,机动车维修保养
7542,洗车服务
7622,电器设备维修
7623,空调、制冷设备维修
7629,小家电维修
7631,手表、钟表和首饰维修店
7641,家具维修、翻新
7692,焊接维修服务
7699,未列入其他代码的维修服务
7829,影视、音像制品创作、发行
7832,电影院
7841,音像制品出租服务
7911,歌舞厅、卡拉OK
7922,舞台演出服务及票务
7929,未列入其他代码的文艺表演、艺术创作
7932,台球娱乐场所
7933,保龄球馆
7941,运动比赛场馆、赛事推广
7991,观光与会展服务
7992,高尔夫球场
7993,电子游戏设备销售
7994,大型游戏机和游戏场所
7995,彩票销售
7996,游乐园、马戏馆、嘉年华
7997,会员制体育健身俱乐部、会所
7998,动物园、海洋馆
7999,未列入其他代码的娱乐服务
8043,光学仪器、眼镜店
742,兽医服务
